experiment,method,rep,d,r,n_anchors,queries,operator_error,frobenius_error,subspace_error,rank_hat
moment_bias,cross,7,12,2,320,5120,0.2582187602121074,0.2986160080464822,0.2389842364035906,2
moment_bias,outer,7,12,2,320,5120,0.1664205674613419,0.2695055626063006,0.0887575173058522,2
moment_bias,outer_trace,7,12,2,320,5120,0.1622990745181893,0.2344629480669393,0.0900993432757051,2
moment_bias,cross,7,12,2,640,10240,0.0895593678333097,0.1294737640716899,0.1163997091352114,2
moment_bias,outer,7,12,2,640,10240,0.0989211627167659,0.2310380738872383,0.0894238544438615,2
moment_bias,outer_trace,7,12,2,640,10240,0.0982159690329401,0.1878620011432649,0.08260332313147,2
moment_bias,cross,7,12,2,1280,20480,0.1511251094470697,0.1801323499945912,0.1129584861169744,2
moment_bias,outer,7,12,2,1280,20480,0.1609347851659371,0.2709065436571317,0.0538469817205792,2
moment_bias,outer_trace,7,12,2,1280,20480,0.1698473659093535,0.2359761498005518,0.045073893688607,2
moment_bias,cross,8,12,2,80,1280,0.2600026211597472,0.4172939672343974,0.3953619558163111,2
moment_bias,outer,8,12,2,80,1280,0.2323968981084815,0.3739348652977917,0.1779201972618042,2
moment_bias,outer_trace,8,12,2,80,1280,0.2242631005899163,0.3078695945102302,0.215856240217766,2
moment_bias,cross,8,12,2,160,2560,0.3115674089130639,0.3651931246099037,0.181063570181203,2
moment_bias,outer,8,12,2,160,2560,0.2085326949596556,0.3157816221338814,0.1694141350714526,2
moment_bias,outer_trace,8,12,2,160,2560,0.1890691088541348,0.2557625237614054,0.1054131114930364,2
moment_bias,cross,8,12,2,320,5120,0.2526378905723144,0.2988647497203254,0.1571696844944199,2
moment_bias,outer,8,12,2,320,5120,0.1643518282300111,0.2688305687981349,0.0999677699080981,2
moment_bias,outer_trace,8,12,2,320,5120,0.1387596733099572,0.2349293005126417,0.1023409081664074,2
moment_bias,cross,8,12,2,640,10240,0.1401366061688516,0.1982667690262729,0.1668837286591895,2
moment_bias,outer,8,12,2,640,10240,0.1138215784327768,0.2419763910913176,0.0755271004008481,2
moment_bias,outer_trace,8,12,2,640,10240,0.0904293946101867,0.1961630605450186,0.0741476550234951,2
moment_bias,cross,8,12,2,1280,20480,0.1894034451295072,0.1949749387209208,0.053386494414534,2
moment_bias,outer,8,12,2,1280,20480,0.0945036581803934,0.2251543038523935,0.0370293614591282,2
moment_bias,outer_trace,8,12,2,1280,20480,0.0888186425342283,0.188698045459397,0.0461181781694016,2
moment_bias,cross,9,12,2,80,1280,0.4180165965572478,0.5281243312284878,0.3553295487154956,2
moment_bias,outer,9,12,2,80,1280,0.2373956370985108,0.3358245245233477,0.2077585806446601,2
moment_bias,outer_trace,9,12,2,80,1280,0.2157350202908146,0.313530550411585,0.19284922207666,2
moment_bias,cross,9,12,2,160,2560,0.2813537198436491,0.341783642246787,0.230877648393727,2
moment_bias,outer,9,12,2,160,2560,0.2601916448707047,0.341879326478453,0.1105534965119057,2
moment_bias,outer_trace,9,12,2,160,2560,0.2726852448110127,0.3194334413064318,0.1262473264223838,2
moment_bias,cross,9,12,2,320,5120,0.1590933219891228,0.2330199359767823,0.1748246064535918,2
moment_bias,outer,9,12,2,320,5120,0.1368218402430479,0.256558141342497,0.0944289385767699,2
moment_bias,outer_trace,9,12,2,320,5120,0.1481281000410862,0.2422522557915721,0.0791541744711888,2
moment_bias,cross,9,12,2,640,10240,0.0739769697643323,0.126388453271543,0.1234774346723556,2
moment_bias,outer,9,12,2,640,10240,0.1179074169143409,0.2423771109842115,0.069298704341463,2
moment_bias,outer_trace,9,12,2,640,10240,0.0855086518485748,0.1761751070601823,0.0463467562260346,2
moment_bias,cross,9,12,2,1280,20480,0.1336209767659215,0.1503636607771807,0.0877555924243943,2
